system:index,Npp,Npp_QC,Sbsp,ag__,ath_,athr,dtty,frbs,fung,grmn,hrst,lchn,moss,sesn,shrb,sym_,tree,vscl,year,.geo
2000_02_18_00000000000000000027,1519.0,36.0,2-Barren Ground,7.3,Gustine et al. 2014,Gustine et al.,fecal,13.0,,7.0,,47.0,24.0,4-Winter,10.0,3,0.0,23.0,2000.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2000_02_18_00000000000000000008,2029.0,20.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,1.6,,13.9,3.5,56.2,10.4,5-Spring,14.3,0,0.0,15.9,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000009,2029.0,20.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,2.7,,13.8,6.7,49.0,4.4,1-Calving,23.3,2,0.0,26.0,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_0000000000000000000a,2029.0,20.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,3.4,,14.1,3.2,62.3,2.1,2-Summer,14.9,2,0.0,18.3,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_0000000000000000000b,2029.0,20.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,1.7,,7.9,0.0,81.3,2.7,3-Autumn,7.5,2,0.0,9.2,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_0000000000000000000c,2029.0,20.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,0.9,,15.3,1.2,71.8,5.4,4-Winter,6.3,2,0.0,7.2,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_0000000000000000000d,2029.0,20.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,2.4,,11.1,4.3,65.1,8.6,5-Spring,5.0,2,0.0,7.4,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_0000000000000000000e,2029.0,20.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,0.8,,32.4,0.9,36.8,0.6,1-Calving,28.3,2,0.0,29.1,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_0000000000000000000f,2029.0,20.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,1.8,,40.3,1.2,24.1,0.6,2-Summer,31.7,2,0.0,33.5,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000010,2029.0,20.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,2.3,,12.4,5.7,68.7,3.6,3-Autumn,5.3,2,0.0,7.6,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000011,2029.0,20.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,0.16,,12.5,0.2,71.9,9.4,4-Winter,4.6,2,0.0,4.76,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000012,2029.0,20.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,1.3,,10.3,4.4,68.8,7.3,5-Spring,7.9,2,0.0,9.2,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000013,2029.0,20.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,1.2,,10.4,0.0,38.9,3.4,1-Calving,46.1,2,0.0,47.3,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000014,2029.0,20.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,2.8,,4.8,0.0,76.6,3.1,4-Winter,12.7,2,0.0,15.5,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000015,2029.0,20.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,1.0,,12.1,14.2,56.0,8.2,5-Spring,6.1,2,0.0,7.1,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000016,2029.0,20.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,0.6,,17.9,8.5,49.4,4.8,1-Calving,15.5,2,0.0,16.1,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000017,2029.0,20.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,3.0,,5.3,7.2,48.8,5.9,2-Summer,20.9,2,0.0,23.9,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000018,2029.0,20.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,0.0,,3.1,0.0,76.0,13.3,4-Winter,7.7,2,0.0,7.7,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000019,2029.0,20.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,2.3,,16.7,4.4,31.4,1.8,1-Calving,42.8,2,0.0,45.1,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000032,2029.0,20.0,6-Introduced-Reindeer,10.1,Ihl and Klein 2001,Ihl and Klein,fecal,12.0,,7.2,15.3,55.5,7.0,4-Winter,2.9,2,0.0,14.9,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000033,2029.0,20.0,6-Introduced-Reindeer,10.1,Ihl and Klein 2001,Ihl and Klein,fecal,8.4,,12.1,7.0,53.6,10.4,4-Winter,8.6,2,0.0,17.0,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_0000000000000000003e,431.0,50.0,5-Reindeer,14.1,Kazmin et al 2011,Kazmin et al,fecal,0.0,,22.4,,0.0,7.4,2-Summer,43.1,1,0.0,43.1,2000.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2000_02_18_0000000000000000003f,431.0,50.0,5-Reindeer,14.1,Kazmin et al 2011,Kazmin et al,fecal,0.0,,15.9,,0.0,4.5,3-Autumn,37.9,1,0.0,37.9,2000.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2000_02_18_00000000000000000040,431.0,50.0,5-Reindeer,14.1,Kazmin et al 2011,Kazmin et al,fecal,0.0,,6.3,,0.0,18.1,4-Winter,49.6,1,0.0,49.6,2000.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2000_02_18_00000000000000000059,431.0,50.0,5-Reindeer,14.1,Rozenfield et al 2012,Rozenfield et al,fecal,0.065,,18.37,0.0,19.3,0.12,4-Winter,0.369,1,0.0,0.434,2000.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2000_02_18_0000000000000000005a,431.0,50.0,5-Reindeer,14.1,Rozenfield et al 2012,Rozenfield et al,fecal,0.1,,0.342,0.0,0.0,0.07,5-Spring,0.48,1,0.0,0.58,2000.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2000_02_18_0000000000000000005b,431.0,50.0,5-Reindeer,14.1,Rozenfield et al 2012,Rozenfield et al,fecal,0.121,,0.64,0.013,0.01,0.039,2-Summer,0.173,1,0.0,0.294,2000.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
