system:index,Npp,Npp_QC,author_yr,max_year,min_year,year,.geo
2005_01_01_00000000000000000037,2216.0,37.0,Joly and Cameron 2018,2013,2011,2005.0,"{""type"":""Point"",""coordinates"":[156.00000048741427,67.09999972372295]}"
2005_01_01_00000000000000000038,2216.0,37.0,Joly et al 2015,2013,2012,2005.0,"{""type"":""Point"",""coordinates"":[156.00000048741427,67.09999972372295]}"
2005_01_01_00000000000000000039,2216.0,37.0,Joly et al 2015,2013,2012,2005.0,"{""type"":""Point"",""coordinates"":[156.00000048741427,67.09999972372295]}"
2005_01_01_0000000000000000003a,2216.0,37.0,Joly et al 2015,2013,2012,2005.0,"{""type"":""Point"",""coordinates"":[156.00000048741427,67.09999972372295]}"
2005_01_01_0000000000000000003b,2145.0,22.0,Joly et al 2015,2013,2012,2005.0,"{""type"":""Point"",""coordinates"":[151.99999956022907,67.09999972372295]}"
2005_01_01_0000000000000000003c,2145.0,22.0,Joly et al 2015,2013,2012,2005.0,"{""type"":""Point"",""coordinates"":[151.99999956022907,67.09999972372295]}"
2005_01_01_0000000000000000003d,2145.0,22.0,Joly et al 2015,2013,2012,2005.0,"{""type"":""Point"",""coordinates"":[151.99999956022907,67.09999972372295]}"
2005_01_01_00000000000000000077,937.0,28.0,Christopherson et al. 2019,,2015,2005.0,"{""type"":""Point"",""coordinates"":[66.0700008895896,48.559998413817254]}"
2006_01_01_00000000000000000075,,,Staaland and White 1991,,,2006.0,"{""type"":""Point"",""coordinates"":[-15.000001247393966,77.90000044348255]}"
2006_01_01_00000000000000000076,,,Staaland and White 1991,,,2006.0,"{""type"":""Point"",""coordinates"":[-15.000001247393966,77.90000044348255]}"
2006_01_01_00000000000000000089,1011.0,22.0,Bergerud 1972,,1959,2006.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2006_01_01_0000000000000000008a,1011.0,22.0,Bergerud 1972,,1959,2006.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2006_01_01_0000000000000000008b,1011.0,22.0,Bergerud 1972,,1959,2006.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2006_01_01_0000000000000000008c,1011.0,22.0,Bergerud 1972,,1959,2006.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2006_01_01_00000000000000000082,,,Gaare and Skogland 1975,,1970,2006.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2006_01_01_00000000000000000083,,,Gaare and Skogland 1975,,1970,2006.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2006_01_01_00000000000000000084,,,Gaare and Skogland 1975,,1970,2006.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2006_01_01_00000000000000000085,,,Gaare and Skogland 1975,,1970,2006.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2006_01_01_00000000000000000086,,,Gaare and Skogland 1975,,1970,2006.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2006_01_01_00000000000000000087,,,Gaare and Skogland 1975,,1970,2006.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2006_01_01_00000000000000000088,,,Gaare and Skogland 1975,,1970,2006.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2006_01_01_0000000000000000007d,675.0,67.0,Thomas and Edmonds 1983,1977,1974,2006.0,"{""type"":""Point"",""coordinates"":[93.5192994815833,73.24670108005807]}"
2006_01_01_0000000000000000007e,1111.0,73.0,Thomas and Edmonds 1983,1977,1974,2006.0,"{""type"":""Point"",""coordinates"":[99.4691984129246,72.67660055127395]}"
2006_01_01_0000000000000000007f,1139.0,35.0,Thomas and Edmonds 1983,1977,1974,2006.0,"{""type"":""Point"",""coordinates"":[127.99999845621896,70.34000038556096]}"
2006_01_01_00000000000000000080,95.0,94.0,Thomas and Edmonds 1983,1977,1974,2006.0,"{""type"":""Point"",""coordinates"":[111.30000060500718,75.3000011785425]}"
2006_01_01_00000000000000000081,,,Thomas and Edmonds 1983,1977,1974,2006.0,"{""type"":""Point"",""coordinates"":[118.97209800431136,76.77750201709652]}"
2006_01_01_00000000000000000004,2371.0,51.0,Boertje 1984,1980,1978,2006.0,"{""type"":""Point"",""coordinates"":[150.2999984973102,63.29999839698691]}"
2006_01_01_00000000000000000005,2371.0,51.0,Boertje 1984,1980,1978,2006.0,"{""type"":""Point"",""coordinates"":[150.2999984973102,63.29999839698691]}"
2006_01_01_00000000000000000006,2371.0,51.0,Boertje 1984,1980,1978,2006.0,"{""type"":""Point"",""coordinates"":[150.2999984973102,63.29999839698691]}"
2006_01_01_00000000000000000007,2371.0,51.0,Boertje 1984,1980,1978,2006.0,"{""type"":""Point"",""coordinates"":[150.2999984973102,63.29999839698691]}"
2006_01_01_0000000000000000008d,1318.0,33.0,Thomas and Hervieux 1986,1981,1980,2006.0,"{""type"":""Point"",""coordinates"":[124.00000198813481,64.00000145766]}"
2006_01_01_00000000000000000061,928.0,27.0,Schaefer et al. 2016,1989,1980,2006.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2006_01_01_00000000000000000057,3217.0,25.0,Rominger and Oldemeyer 1990,1986,1983,2006.0,"{""type"":""Point"",""coordinates"":[117.52000066445886,51.389998111094066]}"
2006_01_01_00000000000000000058,3217.0,25.0,Rominger and Oldemeyer 1990,1986,1983,2006.0,"{""type"":""Point"",""coordinates"":[117.52000066445886,51.389998111094066]}"
2006_01_01_00000000000000000059,3217.0,25.0,Rominger and Oldemeyer 1990,1986,1983,2006.0,"{""type"":""Point"",""coordinates"":[117.52000066445886,51.389998111094066]}"
2006_01_01_0000000000000000005a,3217.0,25.0,Rominger and Oldemeyer 1990,1986,1983,2006.0,"{""type"":""Point"",""coordinates"":[117.52000066445886,51.389998111094066]}"
2006_01_01_00000000000000000043,,,Kojola et al 1995,1992,1988,2006.0,"{""type"":""Point"",""coordinates"":[-26.000001567602734,69.00000038709096]}"
2006_01_01_00000000000000000044,,,Kojola et al 1995,1992,1988,2006.0,"{""type"":""Point"",""coordinates"":[-26.000001567602734,69.00000038709096]}"
2006_01_01_0000000000000000005f,928.0,27.0,Schaefer et al. 2016,1999,1990,2006.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2006_01_01_00000000000000000062,928.0,27.0,Schaefer et al. 2016,1999,1990,2006.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2006_01_01_00000000000000000065,928.0,27.0,Schaefer et al. 2016,1999,1990,2006.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2006_01_01_00000000000000000067,928.0,27.0,Schaefer et al. 2016,1999,1990,2006.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2006_01_01_00000000000000000069,928.0,27.0,Schaefer et al. 2016,1999,1990,2006.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2006_01_01_0000000000000000006b,928.0,27.0,Schaefer et al. 2016,1999,1990,2006.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2006_01_01_0000000000000000006d,928.0,27.0,Schaefer et al. 2016,1999,1990,2006.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2006_01_01_00000000000000000000,1454.0,45.0,Barten et al 2001,1993,1992,2006.0,"{""type"":""Point"",""coordinates"":[143.24999920417434,61.429998565506466]}"
