plant_species,type_plant,study,year
Luzula_confuse,sedge,Kazmin and Abaturov,2011
Luzula_sp,forb,Sormo et al,1999
Luzula_sp,forb,Sormo et al,1999
Luzula_sp,rush,Bjorkvoll et al,2009
Lycopodium_sp,moss,McNeill et al.,2020
Maianthemum_canadense,forb,Thompson et al,2012
Maianthemum_canadense,forb,McNeill et al.,2020
Maianthemum_canadense,forb,Thompson et al,2015
Maianthemum_canadense,forb,Thompson et al,2015
Maianthemum_canadense,forb,Thompson et al,2015
Maianthemum_trifolium,forb,McNeill et al.,2020
Maianthemum_trifolium,forb,Thompson et al,2015
Maianthemum_trifolium,forb,Thompson et al,2015
Maianthemum_trifolium,forb,Thompson et al,2015
Melandrium_sp,forb,Shank et al,1978
Menyanthes_trifoliata,forb,McNeill et al.,2020
Menyanthes_trifoliata,forb,Thompson et al,2015
Menyanthes_trifoliata,forb,Thompson et al,2015
Menyanthes_trifoliata,forb,Thompson et al,2015
Mitella_sp,forb,Rominger and Oldemeyer,1990
Nardosnia_frigida,forb,Kazmin and Abaturov,2011
Nephroma_arcticum,lichen,Scotter,1964
Oxycoccus_sp,forb,Shank et al,1978
Oxyria_digyna,forb,Bjorkvoll et al,2009
Oxyria_digyna,forb,Bjune,2000
Oxyria_digyna,forb,Bjune,2000
Oxyria_digyna,forb,Shank et al,1978
Oxytropis_czukotica,forb,Kazmin et al,2011
Oxytropis_mertensiana,forb,Kazmin and Abaturov,2011
Oxytropis_schsmurinii,forb,Kazmin et al,2011
Oxytropis_sp,forb,Shank et al,1978
Oxytropis_sp,forb,Larter and Nagy,2004
Oxytropis_wrangelii,forb,Kazmin and Abaturov,2011
Pachistima_myrsinites,shrub,Rominger and Oldemeyer,1990
Papaver_dahlianum,forb,Bjune,2000
Pedicularis_frigidus,forb,Trudell and White,1981
Pedicularis_langsdorfii,forb,Trudell and White,1981
Pedicularis_sp,forb,Bjune,2000
Pedicularis_sp,forb,Gustine et al.,2017
Pedicularis_sp,forb,Manseau et al.,1996
Pedicularis_sp,forb,Shank et al,1978
Pedicularis_sp,forb,White and Trudell,1980
Pedicularis_sudetica,forb,Kazmin and Abaturov,2011
Pedicularis_verticillata,forb,Kazmin and Abaturov,2011
Peltigera_aphthosa,lichen,Johnson et al,2001
Peltigera_aphthosa,lichen,Scotter,1964
Peltigera_canina,lichen,Scotter,1964
Peltigera_sp,lichen,Fischer and Gates,2005
Peltigera_sp,lichen,Larter and Nagy,2004
Peltigera_sp,lichen,Shank et al,1978
Petasites_sp,forb,Shank et al,1978
Petasites_sp,forb,McNeill et al.,2020
Phleum_alpinum,graminoid,Leader-williams et al,1981
Picea_engelmannii,tree,Rominger and Oldemeyer,1990
Picea_glauca,tree,Christopherson et al.,2019
Picea_mariana,tree,McNeill et al.,2020
Picea_sp,tree,Thompson and McCourt,1981
Pinus_sp,tree,Bjune,2000
Pinus_sylverstris,tree,Roturier and Bergsten,2006
Pleurozium_schreberi,moss,Johnson et al,2001
Pleurozium_schreberi,moss,Johnson et al,2001
Pleurozium_schreberi,moss,Thompson et al,2012
Pleurozium_schreberi,moss,Thompson et al,2015
Pleurozium_schreberi,moss,Thompson et al,2015
Pleurozium_schreberi,moss,Thompson et al,2015
Pleurozium_schreberi,moss,Christopherson et al.,2019
Pleurozium_sp,moss,Kojola et al,1995
Pleurozium_sp,moss,McNeill et al.,2020
Poa_alpina,graminoid,Skogland,1984
Poa_flabellata,graminoid,Leader-williams et al,1981
Poa_malacantha,graminoid,Kazmin et al,2011
Poa_sp,graminoid,Bjorkvoll et al,2009
Poa_sp,graminoid,Bjune,2000
Poa_sp,graminoid,Leader-williams et al,1981
Poa_sp,graminoid,Sormo et al,1999
Poa_sp,graminoid,Sormo et al,1999
Poaceae_sp,graminoid,Rozenfield et al,2012
Polygonum_bistorta,forb,Trudell and White,1981
Polygonum_viviparum,forb,Skogland,1984
Polytrichum_juniperinum,moss,Joo et al,2014
Polytrichum_sp,moss,Bjorkvoll et al,2009
Polytrichum_sp,moss,Kojola et al,1995
Populus_sp,tree,McNeill et al.,2020
Potentilla_hyparctica,forb,Kazmin et al,2011
Potentilla_pulchella,forb,Kazmin and Abaturov,2011
Potentilla_sp,forb,Kazmin and Abaturov,2011
Potentilla_sp,forb,Shank et al,1978
Ptilidium_ciliare,liverwort,Christopherson et al.,2019
Ptilium_sp,moss,Thompson et al,2015
Ptilium_sp,moss,Thompson et al,2015
Ptilium_sp,moss,Thompson et al,2015
Puccinellia_phryganodes,graminoid,Kazmin et al,2011
Racomitrium_lanuginosum,moss,Bjorkvoll et al,2009
Ranunculus_reptans,forb,Christopherson et al.,2019
Ranunculus_sp,forb,Sormo et al,1999
Ranunculus_sp,forb,Sormo et al,1999
Ranunculus_sulphureus,forb,Bjune,2000
Rhododendron_subarcticum,shrub,Zamin et al.,2017
Ribes_triste,shrub,Christopherson et al.,2019
Robus_sp,forb,McNeill et al.,2020
Rosa_sp,forb,McNeill et al.,2020
Rosa_sp,shrub,Thompson et al,2015
Rosa_sp,shrub,Thompson et al,2015
Rosa_sp,shrub,Thompson et al,2015
Rostkovia_magellanica,rush,Leader-williams et al,1981
Rubus_arcticus,forb,Manseau et al.,1996
Rubus_chamaemorus,forb,Manseau et al.,1996
Rubus_chamaemorus,forb,Trudell and White,1981
Rubus_chamaemorus,shrub,White and Trudell,1980
Rubus_sp,shrub,Thompson et al,2015
Rubus_sp,shrub,Thompson et al,2015
Rubus_sp,shrub,Thompson et al,2015
Rumex_arcticus,forb,Kazmin and Abaturov,2011
Salicaceae_sp,shrub,Rozenfield et al,2012
Salicaceae_sp,shrub,Shank et al,1978
Salix_arctica,shrub,Kazmin et al,2011
Salix_arctica,shrub,Larter and Nagy,2004
Salix_bebbiana,shrub,Joo et al,2014
Salix_bebbiana,shrub,Joo et al,2014
Salix_bebbiana,tree,Christopherson et al.,2019
Salix_glauca,shrub,den Herder et al,2008
Salix_glauca,shrub,Kazmin and Abaturov,2011
Salix_glauca,shrub,Manseau et al.,1996
Salix_glauca,shrub,Trudell and White,1981
Salix_herbacea,shrub,Joo et al,2014
Salix_herbacea,shrub,Manseau et al.,1996
Salix_herbacea,shrub,Skogland,1984
Salix_lanata,shrub,Kazmin and Abaturov,2011
Salix_lanata,shrub,Trudell and White,1981
Salix_lapponum,shrub,Skogland,1984
Salix_ovalifolia,shrub,Trudell and White,1981
Salix_phlebophylla,shrub,Kazmin and Abaturov,2011
Salix_phylicifolia,shrub,den Herder et al,2004
Salix_phylicifolia,shrub,Herder et al,2004
Salix_planifolia,shrub,Manseau et al.,1996
Salix_polaris,shrub,Bjorkvoll et al,2009
Salix_polaris,shrub,Bjune,2000
Salix_polaris,shrub,Kazmin et al,2011
Salix_polaris,shrub,Sormo et al,1999
Salix_polaris,shrub,Sormo et al,1999
Salix_polaris,shrub,Van der Wal et al,1999
Salix_polaris,shrub,Hansen et al.,2019
Salix_pulchra,shrub,Gustine et al.,2017
Salix_pulchra,shrub,Kazmin and Abaturov,2011
Salix_pulchra,shrub,Trudell and White,1981
Salix_pulchra,shrub,Trudell and White,1981
Salix_pulchra,shrub,White and Trudell,1980
Salix_reptans,shrub,Kazmin and Abaturov,2011
Salix_reptans,shrub,Kazmin et al,2011
Salix_reticulata,shrub,Trudell and White,1981
Salix_sp,shrub,Kazmin and Abaturov,2011
Salix_sp,shrub,Thompson and McCourt,1981
Salix_sp,shrub,Thompson et al,2015
Salix_sp,shrub,Thompson et al,2015
Salix_sp,shrub,Thompson et al,2015
Salix_sp,tree,Bjune,2000
Salix_sp,tree,Boertje,1984
Salix_sp,tree,Denryter et al.,2017
Salix_sp,tree,McNeill et al.,2020
Salix_uva,shrub,Manseau et al.,1996
Saxifraga_fortunei,forb,Joo et al,2014
Saxifraga_hieracifolia,forb,Kazmin and Abaturov,2011
Saxifraga_nivalis,forb,Bjune,2000
Saxifraga_oppositifolia,forb,Bjune,2000
Saxifraga_oppositifolia,forb,Joo et al,2014
Saxifraga_oppositiofolia,forb,Bjorkvoll et al,2009
Saxifraga_sp,forb,Adamczewski et al,1988
Saxifraga_sp,forb,Shank et al,1978
Saxifraga_sp,forb,Sormo et al,1999
Saxifraga_sp,forb,Sormo et al,1999
Saxifragaceae_sp,forb,Rominger and Oldemeyer,1990
Scirpus_caespitosus,graminoid,Manseau et al.,1996
Selaginella_sp,moss,Thompson and McCourt,1981
Silene_paradoxa,forb,Joo et al,2014
Siphula_ceratites,lichen,Ferguson et al.,2001
Siphula_ceratites,lichen,Ferguson et al.,2001
Solidago_macrophylla,forb,Manseau et al.,1996
Solidago_virgaurea,forb,Skogland,1984
Sorbus_americana,tree,Christopherson et al.,2019
Sphaereophorus_globosus,lichen,Manseau et al.,1996
Sphaerophorus_fragilis,lichen,Ferguson et al.,2001
Sphaerophorus_fragilis,lichen,Ferguson et al.,2001
Sphagnum_magellanicum,moss,Thompson et al,2012
Sphagnum_sp,moss,Thompson and McCourt,1981
Sphagnum_sp,moss,Thompson et al,2015
Sphagnum_sp,moss,Thompson et al,2015
Sphagnum_sp,moss,Thompson et al,2015
